"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2019","21.33","19.92","21.67","19.81","909.32K","8.27%"
"04/04/2019","23.08","21.12","23.18","21.04","1.71M","8.20%"
"04/05/2019","25.96","23.80","26.23","22.66","1.98M","12.48%"
"04/08/2019","27.23","25.90","29.79","25.60","2.67M","4.89%"
"04/09/2019","26.82","27.30","28.40","26.31","1.05M","-1.51%"
"04/10/2019","26.80","26.90","27.74","26.50","639.41K","-0.07%"
"04/11/2019","25.73","26.82","26.99","24.26","1.03M","-3.99%"
"04/12/2019","24.61","26.00","26.05","24.27","708.63K","-4.35%"
"04/15/2019","25.84","24.99","25.94","24.62","636.49K","5.00%"
"04/16/2019","23.78","26.00","26.22","23.65","964.84K","-7.97%"
"04/17/2019","23.50","24.00","24.12","22.31","918.56K","-1.18%"
"04/18/2019","22.51","23.47","23.55","22.43","736.36K","-4.21%"
"04/22/2019","23.63","22.70","23.99","22.51","494.15K","4.98%"
"04/23/2019","24.70","23.73","24.98","23.73","617.76K","4.53%"
"04/24/2019","25.76","24.80","25.76","24.29","702.20K","4.29%"
"04/25/2019","25.74","25.76","26.72","25.43","603.27K","-0.08%"
"04/26/2019","26.26","25.83","27.30","25.69","593.56K","2.02%"
"04/29/2019","25.14","26.28","27.20","24.97","1.06M","-4.27%"
"04/30/2019","26.03","25.28","26.03","25.00","620.72K","3.54%"
"05/01/2019","26.40","26.31","27.09","25.87","1.12M","1.42%"
"05/02/2019","28.34","26.33","28.49","26.19","1.08M","7.35%"
"05/03/2019","27.20","28.89","28.95","26.85","837.92K","-4.02%"
"05/06/2019","27.10","26.38","27.81","26.25","667.20K","-0.37%"
